id	country	collection_date
MG921596.1_Mexico_2015-07-01	Mexico	2015-07-01
MG000876.1_Haiti_2016-05-17	Haiti	2016-05-17
MG664851.1_China_2012-07-01	China	2012-07-01
MG664850.1_China_2010-07-01	China	2010-07-01
KX619423.1_India_2014-07-23	India	2014-07-23
KX619422.1_India_2014-07-08	India	2014-07-08
MG925665.1_China_2017-12-15	China	2017-12-15
MF773569.1_Papua New Guinea_2013-07-01	Papua New Guinea	2013-07-01
MF773568.1_Malaysia_2008-07-01	Malaysia	2008-07-01
MF773567.1_Borneo_2011-07-01	Borneo	2011-07-01
MF773566.1_Bangladesh_2017-07-01	Bangladesh	2017-07-01
MF773565.1_Timor-Leste_2010-07-01	Timor-Leste	2010-07-01
MF773564.1_Philippines_2016-07-01	Philippines	2016-07-01
MF773563.1_Philippines_2014-07-01	Philippines	2014-07-01
MF773562.1_Kiribati_2015-07-01	Kiribati	2015-07-01
MF773561.1_Indonesia_2011-07-01	Indonesia	2011-07-01
LC259094.1_Angola_2016-05-11	Angola	2016-05-11
LC259093.1_Malaysia_2009-01-06	Malaysia	2009-01-06
LC259092.1_Cuba_2016-02-28	Cuba	2016-02-28
LC259091.1_Indonesia_2015-05-07	Indonesia	2015-05-07
LC259087.1_Indonesia_2013-07-06	Indonesia	2013-07-06
LC259086.1_Indonesia_2013-07-01	Indonesia	2013-07-01
LC259084.1_Philippines_2012-09-25	Philippines	2012-09-25
LC259083.1_Indonesia_2009-09-11	Indonesia	2009-09-11
LC259082.1_Thailand_1958-07-01	Thailand	1958-07-01
KX097986.1_Indonesia_2015-07-01	Indonesia	2015-07-01
KX097982.1_Indonesia_2015-07-01	Indonesia	2015-07-01
MG049915.1_Italy_2017-07-01	Italy	2017-07-01
MF076577.1_Laos_2012-08-31	Laos	2012-08-31
MF499120.1_Hong Kong_2016-09-15	Hong Kong	2016-09-15
MF774617.1_Pakistan_2016-07-01	Pakistan	2016-07-01
MF774613.1_Pakistan_2016-07-01	Pakistan	2016-07-01
KY704952.1_Brazil_2016-04-07	Brazil	2016-04-07
KY704947.1_Brazil_2016-04-15	Brazil	2016-04-15
KY704942.1_Brazil_2016-04-16	Brazil	2016-04-16
KY704939.1_Brazil_2016-04-17	Brazil	2016-04-17
KX619426.1_India_2015-12-03	India	2015-12-03
KX619425.1_India_2015-09-11	India	2015-09-11
KX619424.1_India_2015-09-22	India	2015-09-22
KY055011.1_Brazil_2016-02-20	Brazil	2016-02-20
MF001512.1_USA_2015-07-01	USA	2015-07-01
MF001510.1_USA_2015-07-01	USA	2015-07-01
MF001508.1_USA_2015-07-01	USA	2015-07-01
MF001507.1_USA_2015-07-01	USA	2015-07-01
MF001506.1_USA_2015-07-01	USA	2015-07-01
KY704001.1_Nicaragua_2015-01-21	Nicaragua	2015-01-21
KY703997.1_Nicaragua_2015-12-19	Nicaragua	2015-12-19
KY703994.1_Nicaragua_2015-11-18	Nicaragua	2015-11-18
KY703991.1_Nicaragua_2015-10-09	Nicaragua	2015-10-09
KY703990.1_Nicaragua_2015-11-21	Nicaragua	2015-11-21
KY703989.1_Nicaragua_2014-12-03	Nicaragua	2014-12-03
KY703986.1_Nicaragua_2015-09-16	Nicaragua	2015-09-16
KY703985.1_Nicaragua_2015-08-13	Nicaragua	2015-08-13
KY703982.1_Nicaragua_2015-11-30	Nicaragua	2015-11-30
KY703979.1_Nicaragua_2015-09-22	Nicaragua	2015-09-22
KY703977.1_Nicaragua_2015-08-03	Nicaragua	2015-08-03
KY703972.1_Nicaragua_2014-12-09	Nicaragua	2014-12-09
KY703970.1_Nicaragua_2015-11-28	Nicaragua	2015-11-28
KY703967.1_Nicaragua_2015-08-12	Nicaragua	2015-08-12
KY703966.1_Nicaragua_2015-12-10	Nicaragua	2015-12-10
KY703958.1_Nicaragua_2015-11-25	Nicaragua	2015-11-25
KY703957.1_Nicaragua_2015-09-05	Nicaragua	2015-09-05
KY703949.1_Nicaragua_2015-01-15	Nicaragua	2015-01-15
KY703946.1_Nicaragua_2015-10-12	Nicaragua	2015-10-12
KY703945.1_Nicaragua_2015-10-02	Nicaragua	2015-10-02
KY703935.1_Nicaragua_2015-12-02	Nicaragua	2015-12-02
KY703930.1_Nicaragua_2015-11-24	Nicaragua	2015-11-24
KY703920.1_Nicaragua_2015-11-16	Nicaragua	2015-11-16
KY703905.1_Nicaragua_2015-09-17	Nicaragua	2015-09-17
KY703896.1_Nicaragua_2014-12-18	Nicaragua	2014-12-18
KY703888.1_Nicaragua_2015-08-15	Nicaragua	2015-08-15
KY680401.1_USA_2014-09-22	USA	2014-09-22
KY680368.1_USA_2014-12-01	USA	2014-12-01
KY680351.1_USA_2014-06-24	USA	2014-06-24
KY575574.1_USA_1995-07-01	USA	1995-07-01
KY575570.1_USA_2008-07-01	USA	2008-07-01
KY575565.1_USA_2014-07-01	USA	2014-07-01
KY038947.2_Central African Republic_1983-12-15	Central African Republic	1983-12-15
KY038946.1_Central African Republic_1975-06-15	Central African Republic	1975-06-15
KX009168.1_Thailand_2013-07-01	Thailand	2013-07-01
KY415985.1_Haiti_2014-08-13	Haiti	2014-08-13
KY057363.1_India_2016-08-28	India	2016-08-28
KX262996.1_Cameroon_2006-07-01	Cameroon	2006-07-01
KX262988.1_Thailand_1988-07-01	Thailand	1988-07-01
KX262987.1_Thailand_1996-07-01	Thailand	1996-07-01
KT308163.1_Philippines_2012-07-01	Philippines	2012-07-01
KT308161.1_Philippines_2012-07-01	Philippines	2012-07-01
KT308160.1_Philippines_2012-07-01	Philippines	2012-07-01
FJ445510.2_Singapore_2008-01-15	Singapore	2008-01-15
FJ445428.2_Sri Lanka_2007-05-15	Sri Lanka	2007-05-15
FJ445426.2_Sri Lanka_2008-04-15	Sri Lanka	2008-04-15
