id	location	country	collection_date_raw	collection_date	pident
HM045823	Angola	Angola	1962	1962-07-02	96.930711736851
LC259094	Angola	Angola	2016-05-11	2016-05-11	97.1420152207001
KY435483	Anguilla	Anguilla	12-Feb-2014	2014-02-12	88.8134256722476
KY435455	Anguilla	Anguilla	12-Nov-2014	2014-11-12	88.7963236935566
KY435479	Antigua and Barbuda	Antigua and Barbuda	28-Apr-2014	2014-04-28	88.8048746829021
KY751908	Australia: imported from India	Australia	2016	2016-07-02	99.6109776763064
KY435470	Bahamas	Bahamas	08-Jul-2014	2014-07-08	88.77067072552
FJ807898	Bangladesh	Bangladesh	2008	2008-07-02	98.9855024522239
MF773566	Bangladesh	Bangladesh	2017	2017-07-02	99.7374200067648
KY435464	Barbados	Barbados	15-Aug-2014	2014-08-15	88.8048746829021
KY435466	Barbados	Barbados	06-Aug-2014	2014-08-06	88.7963236935566
MF773567	Borneo	Borneo	2011	2011-07-02	98.9006246406224
KP164568	Brazil: Feira de Santana-BA	Brazil	26-Aug-2014	2014-08-26	96.8126304752241
KP164569	Brazil: Feira de Santana-BA	Brazil	28-Aug-2014	2014-08-28	96.8374320987654
KU355832	Brazil	Brazil	2015	2015-07-02	89.7001492474209
KU940225	Brazil	Brazil	15-Jul-2015	2015-07-15	96.7536729240656
KY704955	Brazil: Joao Pessoa, Paraiba	Brazil	17-Jun-2016	2016-06-17	96.7107529173009
KY704954	Brazil: Joao Pessoa, Paraiba	Brazil	20-Jun-2016	2016-06-20	96.7027677997632
KJ451624	British Virgin Islands	British Virgin Islands	Jan-2014	2014-01-15	92.8116057838661
KY435486	British Virgin Islands	British Virgin Islands	23-Jan-2014	2014-01-23	88.8219766615931
JQ861260	Cambodia	Cambodia	28-May-2011	2011-05-28	98.3510055809234
JQ861253	Cambodia	Cambodia	16-Aug-2011	2011-08-16	98.3507052257737
KX262996	Cameroon	Cameroon	2006	2006-07-02	94.8763833079655
KY435460	Cayman Islands	Cayman Islands	06-Jul-2014	2014-07-06	88.8048746829021
KY435459	Cayman Islands	Cayman Islands	17-Sep-2014	2014-09-17	88.8048746829021
KY038946	Central African Republic: Bozo	Central African Republic	Jun-1975	1975-06-15	97.5652724505327
HM045822	Central African Republic	Central African Republic	Oct-1978	1978-10-15	97.07489024184
KY038947	Central African Republic: Bangui	Central African Republic	Dec-1983	1983-12-15	97.2104438525283
HM045784	Central African Republic	Central African Republic	19-Nov-1984	1984-11-19	97.209831557585
GU199352	China	China	2008	2008-07-02	97.894767376966
GU199351	China	China	2008	2008-07-02	98.8077026044309
HQ846356	China	China	Oct-2010	2010-10-15	98.2495137831896
HQ846358	China	China	Oct-2010	2010-10-15	97.9792123287671
KC488650	China	China	2012	2012-07-02	92.3541603247083
MG664851	China	China	2012	2012-07-02	92.7617579908676
MG925665	China	China	15-Dec-2017	2017-12-15	98.6469740402503
KR559491	Colombia	Colombia	Aug-2014	2014-08-15	92.8285540334855
LC259090	Colombia	Colombia	2015-01-06	2015-01-06	92.8116057838661
KX496989	Colombia	Colombia	09-Feb-2016	2016-02-09	92.8534779299848
KP702297	Comoros: Grande Island	Comoros	2005	2005-07-02	93.6669810586843
KF283987	Comoros: Grande Island	Comoros	2005	2005-07-02	97.9882069169626
HM045818	Cote d'Ivoire	Cote d'Ivoire	Sep-1981	1981-09-15	81.2416704718417
HM045820	Cote d'Ivoire	Cote d'Ivoire	Dec-1993	1993-12-15	81.1318340943683
LC259092	Cuba	Cuba	2016-02-28	2016-02-28	92.7188888888889
HM045809	Democratic Republic of the Congo	Democratic Republic of the Congo	1960	1960-07-02	96.2376605783866
KY435484	Dominica	Dominica	30-Jan-2014	2014-01-30	88.8219766615931
KY435485	Dominica	Dominica	28-Jan-2014	2014-01-28	88.8305276509386
KY272961	Dominican Republic	Dominican Republic	2014	2014-07-02	90.5214515474378
KR559477	Dominican Republic	Dominican Republic	Jul-2014	2014-07-15	92.7946575342466
KR559471	El Salvador	El Salvador	Oct-2014	2014-10-15	92.7946575342466
KR559472	El Salvador	El Salvador	Jun-2014	2014-06-15	92.8026331811263
FR717336	France:La Reunion	France	26-Dec-2005	2005-12-26	96.9813165905632
KP003807	France	France	2006	2006-07-02	96.9301755454084
KX262994	French Guiana	French Guiana	21-Jan-2014	2014-01-21	91.009932014206
KR559473	French Polynesia	French Polynesia	Feb-2015	2015-02-15	92.7856849315069
KP003812	Gabon	Gabon	2007	2007-07-02	94.7918660578387
KY435472	Grenada	Grenada	16-Jun-2014	2014-06-16	88.8134256722476
KY435469	Grenada	Grenada	30-Jul-2014	2014-07-30	88.8048746829021
LN898110	Guadeloupe	Guadeloupe	Jan-2014	2014-01-15	91.1534980551328
LN898094	Guadeloupe	Guadeloupe	Jan-2014	2014-01-15	91.1534980551328
KR559481	Guatemala	Guatemala	Sep-2014	2014-09-15	92.7687366818874
KY435458	Guyana	Guyana	03-Nov-2014	2014-11-03	88.8134256722476
KR559496	Guyana	Guyana	Jul-2014	2014-07-15	92.7856849315069
KY415982	Haiti	Haiti	11-Jun-2014	2014-06-11	92.7856849315069
KX702401	Haiti	Haiti	02-Jun-2014	2014-06-02	92.7946575342466
MG000876	Haiti	Haiti	17-May-2016	2016-05-17	96.7872853881279
MG000875	Haiti	Haiti	27-Jun-2016	2016-06-27	96.7107529173009
KR559488	Honduras	Honduras	Sep-2014	2014-09-15	92.7946575342466
KR559487	Honduras	Honduras	Jul-2014	2014-07-15	92.7946575342466
MF503628	Hong Kong	Hong Kong	26-Aug-2016	2016-08-26	98.4103991205818
MF499120	Hong Kong	Hong Kong	15-Sep-2016	2016-09-15	98.7144622864874
HM045803	India	India	06-Nov-1963	1963-11-06	93.9840083713851
